feature,mean_importance
AATS1p,4.670272995846523e-06
ATSC8pe,4.7356247434527e-06
ATS6m,4.758161799192726e-06
ATS0p,4.822708315946767e-06
MW,4.850929394412725e-06
AATS3dv,4.853935567525683e-06
MATS2p,4.8553887184613755e-06
Xp-5d,4.856702593842004e-06
ATS5m,4.871780204435128e-06
GGI10,4.881025926749619e-06
AATS4i,4.900301119508711e-06
ATSC7i,4.978541769736638e-06
n10FHRing,4.981223418167036e-06
ATS6se,4.989006710701735e-06
ZMIC0,5.05236863552784e-06
naHRing,5.0733383414131025e-06
SsCl,5.125364656045472e-06
eluent.A.nh4f,5.147343608281983e-06
ATS3v,5.158256221186875e-06
ATS0v,5.202141329866891e-06
ATS3pe,5.202385714938359e-06
MATS1Z,5.2232581455451645e-06
ATS5p,5.272314001166304e-06
ATSC2pe,5.289095225204619e-06
AATS2i,5.293804764045992e-06
C2SP3,5.351116324229122e-06
Sm,5.356088008880329e-06
BertzCT,5.3587585984405005e-06
ATSC1se,5.369255014276743e-06
SMR_VSA6,5.3866600837333516e-06
MPC5,5.460466244589391e-06
SIC2,5.469189347731464e-06
ATSC3m,5.540762055897003e-06
RotRatio,5.57213170151033e-06
ATS8m,5.596971456538809e-06
NsssCH,5.631902466774527e-06
ATSC6m,5.675708356136199e-06
Mare,5.720483781129597e-06
ATSC6dv,5.732858570830015e-06
ATSC6Z,5.73601260198094e-06
ATS7d,5.759855821948611e-06
MATS4m,5.768785038738882e-06
TIC4,5.837338870828216e-06
JGI1,5.852260998726998e-06
ATSC3p,5.85723210070532e-06
AATS4pe,5.941300345443934e-06
AATSC1p,5.952742018638848e-06
NaaCH,5.998455734987536e-06
MATS3d,6.002268243037595e-06
AATS4are,6.026214776769408e-06
AATS1m,6.0317509900955494e-06
CIC4,6.094026513661643e-06
n10FaHRing,6.0963889135132525e-06
ATSC6are,6.121343860208961e-06
GATS2Z,6.153083105189978e-06
GATS1se,6.157462513092967e-06
Xp-7dv,6.1649137152845064e-06
AATS3se,6.185845059804469e-06
MATS1i,6.19856239657858e-06
SlogP_VSA4,6.200584828933327e-06
MATS1p,6.232542023787337e-06
SdsCH,6.238059958970852e-06
SIC4,6.242544687270167e-06
eluent.B.nh4bicarb,6.261545781693478e-06
ATS2i,6.307567014536205e-06
AATSC1pe,6.3267655979117045e-06
MATS2are,6.345785504443483e-06
ATSC2v,6.359929648199099e-06
Xp-6dv,6.372310885650271e-06
GATS3are,6.396217443742532e-06
GATS1pe,6.451592721318147e-06
GATS2se,6.5109544600568465e-06
ATS1p,6.563956315091147e-06
SlogP_VSA10,6.643149007235383e-06
hydrophobicity,6.6966448741490044e-06
AATSC3are,6.7326701589032026e-06
GGI6,6.7466769292130396e-06
AATSC3v,6.766501692572705e-06
ABC,6.930932762153844e-06
PEOE_VSA10,7.004549304789713e-06
GATS3p,7.030260607059947e-06
ATSC3Z,7.103808111171439e-06
ATSC2i,7.127876416015977e-06
SaaO,7.127994710438151e-06
ZMIC4,7.129935229095632e-06
IC4,7.138895609715232e-06
AATSC1v,7.185001716401071e-06
Mp,7.190813064485938e-06
AATSC4i,7.24555481110209e-06
MATS3m,7.299549882768333e-06
IC5,7.3140177687203675e-06
ATSC7pe,7.3163089605499455e-06
AATSC3Z,7.332379119143456e-06
EState_VSA3,7.397758399754674e-06
ATSC5v,7.428953021095669e-06
ATSC1p,7.48569244949579e-06
SlogP_VSA7,7.496747616248401e-06
ATSC7se,7.600476178533811e-06
ATS5i,7.603940363182845e-06
SIC5,7.613092008103457e-06
AATSC4pe,7.625021423769696e-06
Xp-4dv,7.68450548702792e-06
ATSC6v,7.705129433480466e-06
ATSC5i,7.76596651815122e-06
ATSC6p,7.775311887795334e-06
AATSC3m,7.786512700621012e-06
ATS0Z,7.802100939962275e-06
MATS4i,7.80644959391787e-06
AATS0Z,7.81237770888987e-06
JGT10,7.814489540427464e-06
SssCH2,7.973303218801463e-06
GATS4p,7.983800322501968e-06
ATS3Z,7.988305490115328e-06
AATS0m,8.043292855134092e-06
eluent.B.nh4ac,8.046537778244774e-06
SIC1,8.061779588338508e-06
EState_VSA4,8.157711311756848e-06
JGI3,8.166816325541702e-06
GATS1v,8.17020645586218e-06
ATS1Z,8.185440551380843e-06
ATSC1i,8.226243142956617e-06
BIC5,8.29372946008558e-06
IC2,8.346452102282048e-06
SlogP_VSA8,8.353492989580675e-06
AATSC1m,8.41488200323294e-06
GhoseFilter,8.431309078597762e-06
VSA_EState1,8.490657212051246e-06
ATSC5pe,8.511075900514801e-06
AATSC2pe,8.517265309738661e-06
SsssCH,8.691630766746034e-06
SlogP_VSA11,8.741425058461215e-06
AATS0dv,8.753833521833037e-06
ATSC3v,8.785248400209039e-06
SlogP_VSA1,8.806928139391737e-06
SdO,8.884559207307085e-06
AATS1se,8.898593243464747e-06
ZMIC1,8.974875341662397e-06
GATS4d,9.042718509839551e-06
AATSC0pe,9.07297009028786e-06
ATSC7v,9.113888672354718e-06
ATSC1are,9.175626033454918e-06
AATSC0dv,9.272304426077935e-06
AATS2are,9.296569581062568e-06
ATSC6pe,9.397131067408454e-06
GATS2are,9.421462307500436e-06
AATSC4d,9.50300063341106e-06
AATSC3se,9.524065968271375e-06
AATSC3d,9.529465741817383e-06
GATS4i,9.551105377751407e-06
nHRing,9.596808540988845e-06
C2SP2,9.609217773971952e-06
VMcGowan,9.616064754475271e-06
ATSC7p,9.6385789870773e-06
Kier2,9.675997763020603e-06
AATSC2se,9.705991177486484e-06
Xpc-6d,9.759525108131786e-06
AATSC2i,9.882630350097587e-06
Xp-7d,9.966373818241433e-06
ATSC3pe,1.0015555954904532e-05
AATSC2dv,1.009364454866487e-05
ATSC0are,1.0165664740227273e-05
ATSC5m,1.0372864146192435e-05
MATS4pe,1.0414218042297754e-05
ATS3m,1.04647089234456e-05
SaasC,1.0481536689285232e-05
C3SP2,1.0513602133990947e-05
ATSC3se,1.0526763331684605e-05
TSRW10,1.059398976149626e-05
GATS2i,1.0636557038527956e-05
AATSC4v,1.0660781788906364e-05
MATS3pe,1.0794727216884188e-05
ATSC2dv,1.0806512152481372e-05
SaaNH,1.0810371046381454e-05
ATSC7dv,1.087835547315466e-05
AATS2p,1.0910767368969148e-05
SMR_VSA7,1.095508627437505e-05
ATSC4p,1.0967120056451593e-05
MATS2i,1.1025682989476444e-05
JGI9,1.1126460756962896e-05
AXp-2d,1.1210414232164235e-05
MWC03,1.1246628885381703e-05
SIC3,1.1287914569701498e-05
GATS2dv,1.1324382464904682e-05
SMR_VSA1,1.1338011739602233e-05
piPC3,1.1343928444658163e-05
AATSC0v,1.1499158055395218e-05
PEOE_VSA4,1.1520560037246546e-05
n6ARing,1.1573203751961882e-05
AATSC4se,1.1640228765791294e-05
TIC5,1.1696764688243471e-05
ATSC5Z,1.1779994885769557e-05
GATS1Z,1.1884270283683049e-05
ATS7dv,1.1933065472670683e-05
EState_VSA8,1.2253982370837718e-05
Mi,1.2278473601172631e-05
AATSC4Z,1.2384867566740936e-05
PEOE_VSA2,1.2456058786885008e-05
ATSC8dv,1.248917789033353e-05
AATSC2d,1.2491828615327372e-05
ATS6i,1.2741349830477661e-05
ATSC2d,1.2801233764565563e-05
SdsssP,1.2801776174259893e-05
AATSC3i,1.2924072845516434e-05
AATSC4dv,1.293900734077695e-05
ATSC7d,1.2961111516029706e-05
AXp-1dv,1.3005042324807769e-05
nHBDon,1.308841904669811e-05
GGI8,1.3241392183690506e-05
MATS3se,1.3474393111570851e-05
GATS3Z,1.3617309463690667e-05
MATS4p,1.3753257149560702e-05
ATSC4are,1.3763638518100081e-05
GATS3m,1.3796067070615415e-05
VSA_EState3,1.3853037444013557e-05
Xp-1d,1.3962201317983727e-05
MATS3are,1.3965579217053385e-05
JGI10,1.4024486911463387e-05
AMW,1.4041788739518109e-05
LabuteASA,1.4042974758431137e-05
EState_VSA7,1.4147931131174192e-05
SsOH,1.4190889935677703e-05
Xp-3dv,1.4198394883523958e-05
VSA_EState5,1.4383267345557775e-05
GATS3pe,1.4601351966070895e-05
Mse,1.460311236060061e-05
ATSC0Z,1.4604113333838414e-05
BIC0,1.4604855047148368e-05
BIC2,1.4675080364911011e-05
VSA_EState2,1.4756300244280277e-05
ATSC6se,1.4760877769497225e-05
ATSC3d,1.4775400141111856e-05
ATSC5are,1.4783711420285426e-05
bpol,1.4801688687383908e-05
PEOE_VSA12,1.486209301917573e-05
BIC4,1.4874211185993569e-05
nAromAtom,1.4888338597760734e-05
AATS0p,1.4907437146872808e-05
StsC,1.5034803514944306e-05
SaaaC,1.5108844974019361e-05
AATS4p,1.5118742352491446e-05
GATS4Z,1.5165873745367695e-05
AATSC2v,1.5200001911353129e-05
fMF,1.5201397706136443e-05
MATS1dv,1.5249233290940984e-05
GGI5,1.541099692028867e-05
SssssC,1.5577072323101626e-05
AATS0d,1.560039208097809e-05
GATS1m,1.565101282060867e-05
ATSC5d,1.5939978408263755e-05
Xch-7dv,1.604141078363477e-05
ATSC4se,1.6097452429471737e-05
AATS1d,1.611139364742697e-05
ATSC1pe,1.6175543419163184e-05
n9FRing,1.6296764039224616e-05
GATS2pe,1.63041780578411e-05
piPC5,1.631124080369922e-05
AATSC3dv,1.6402121672769685e-05
n6HRing,1.6544048303675837e-05
ATSC3are,1.66905538027012e-05
PEOE_VSA7,1.674591836163565e-05
ATSC0i,1.6977628854496044e-05
IC1,1.7174451200725056e-05
MATS4Z,1.744051738515719e-05
SsCH3,1.7479976888127702e-05
eluent.B.h2o,1.783351380234381e-05
ATSC2m,1.8359132310266125e-05
JGI2,1.8415156058675716e-05
AATSC0m,1.8514513023857455e-05
Xch-7d,1.8551061168190636e-05
MATS4dv,1.8560820706224265e-05
VSA_EState8,1.8662927937165667e-05
EState_VSA2,1.872379991527751e-05
eluent.A.trifluoroacetic,1.900059320912237e-05
EState_VSA5,1.905020894374578e-05
ATSC0m,1.9436016443795563e-05
GATS4m,1.9437316946995918e-05
MIC0,1.9459904291439616e-05
ATSC6i,1.9494645371743222e-05
AATS2d,1.985931117996394e-05
ATS3i,2.0047543313920102e-05
ion exchange capacity pH 2.7,2.0089377305502424e-05
piPC2,2.026323710518467e-05
GATS3dv,2.033922201730501e-05
nC,2.0668520889971682e-05
SssS,2.0671799026806497e-05
SlogP_VSA6,2.094123346842447e-05
JGI6,2.120772858538733e-05
SMR_VSA9,2.1240236492787654e-05
PEOE_VSA9,2.1262715241325036e-05
CIC0,2.1374183003896632e-05
AATSC4are,2.1562033054142554e-05
NdssS,2.1811924259114174e-05
PEOE_VSA13,2.2001537517450825e-05
GATS3i,2.2066185572087744e-05
TopoPSA,2.2740536151245534e-05
JGI7,2.305087826296945e-05
CIC3,2.3199498738529777e-05
AATS0i,2.3782158688512648e-05
eluent.A.nh4ac,2.3900201401653823e-05
AATS4dv,2.4061427829267112e-05
ATSC3dv,2.4481984198123415e-05
GATS1are,2.4732496427071637e-05
VSA_EState7,2.5108935050861813e-05
AATSC0p,2.5122946298153282e-05
PEOE_VSA1,2.522178959734984e-05
Xp-5dv,2.5528307373859533e-05
BIC3,2.586187455987099e-05
MATS4are,2.5935305015421796e-05
EState_VSA6,2.614013233539882e-05
AATS4Z,2.6367355427864542e-05
JGI5,2.6865384106906225e-05
SdssS,2.7492493401647806e-05
ATSC1v,2.778389544500371e-05
eluent.B.acetic,2.7852258550239117e-05
ATSC6d,2.7999629765046875e-05
ATS1i,2.8235931405728304e-05
MATS2pe,2.856030434118459e-05
PEOE_VSA11,2.8712043790073312e-05
PEOE_VSA5,2.8732243970736126e-05
MATS4se,2.9147765767242874e-05
AATSC1se,2.9188878368479818e-05
ATS8v,2.9557728837040045e-05
SaasN,3.01485228212715e-05
SdsN,3.0408682422915138e-05
eluent.B.nh4oh,3.051952229295163e-05
AATS1are,3.0585156038672854e-05
nN,3.071802063218543e-05
AATS2se,3.154932294469571e-05
CIC1,3.181027849317574e-05
NsCH3,3.2851939594452306e-05
MATS2se,3.2937217389892356e-05
ATSC7Z,3.297819852528432e-05
SaaCH,3.385389775566895e-05
GATS4dv,3.424892949532941e-05
ZMIC3,3.506977302701556e-05
AATS1pe,3.619811172084816e-05
eluent.B.iproh,3.6910299737497827e-05
C1SP2,3.722012327212207e-05
BIC1,3.784834944788691e-05
MATS3dv,3.891444518345135e-05
AATSC0i,3.895853686046741e-05
AATS2Z,3.915064647050347e-05
AATSC0are,3.941906123555864e-05
piPC9,4.0099173385949644e-05
JGI8,4.010109930067691e-05
ATSC5dv,4.064575670908238e-05
Xpc-5dv,4.093439676013519e-05
SdssC,4.2110051334020695e-05
SssO,4.2437239483319664e-05
NaasC,4.255274191108782e-05
MATS2dv,4.329474705521939e-05
GATS4are,4.339549284172869e-05
GATS2d,4.390086927598411e-05
GATS4pe,4.7137791998674765e-05
SMR_VSA5,5.161960648420866e-05
IC0,5.186188431188961e-05
SssNH,5.4013864189343586e-05
nBondsA,5.739777742912655e-05
AATS4se,5.7850252964373146e-05
SlogP_VSA5,5.8214301203030496e-05
VSA_EState9,5.975147059977632e-05
TopoPSA(NO),6.081364172058519e-05
silanol capacity,6.17145204873785e-05
GATS1dv,6.187907375171239e-05
EState_VSA9,6.442414094667541e-05
AATSC1dv,6.498603420530252e-05
AATSC1are,6.537201488244059e-05
nAcid,6.541900109898452e-05
ATSC2Z,6.655623098460166e-05
VSA_EState6,6.801260572756682e-05
SMR,6.828630467986298e-05
steric selectivity,7.038015189715936e-05
retention capacity,7.047025492899397e-05
column.temperature,7.062628872676674e-05
SdS,7.288621084435591e-05
SaaN,7.374862014977966e-05
eluent.A.nh4oh,7.445639923521164e-05
ion exchange capacity pH 7.6,7.744461466684958e-05
MATS1pe,7.898522369463702e-05
ATSC7m,8.357581547968679e-05
eluent.A.acn,8.387067479440901e-05
ZMIC2,8.56681603017771e-05
ATSC4d,9.324841885175201e-05
column.particle.size,9.500514417085122e-05
eluent.A.h2o,9.766605972948046e-05
column.length,0.00010026940503659798
n6aHRing,0.00010039055657712626
SMR_VSA3,0.00010330742884218794
AATS1i,0.00011625978263638234
NaaN,0.00011650127458444547
eluent.A.nh4bicarb,0.00011675511546448943
SsssN,0.00011694907238851147
VSA_EState4,0.00011720319018680651
MATS1se,0.00013367075547897475
column.flowrate,0.00013839706462678906
PEOE_VSA8,0.00013962350758995652
eluent.B.formic,0.0001505275471120688
eluent.A.formic,0.00015128969210869746
pore size,0.00017149747232947775
gradient time 0.4,0.00021815297674708566
ATSC1dv,0.00023555300651060602
MATS1are,0.000248845577955102
gradient time 0.2,0.0002777752782721674
gradient time 1.0,0.0002948739282195269
FilterItLogS,0.00029894647086536435
gradient time 0.8,0.0003880986626719144
run time,0.0005730358957409739
column.t0,0.0010566728236007044
PEOE_VSA6,0.0017754376855155282
gradient time 0.0,0.0018399488166873836
gradient time 0.6,0.0019460039519022033
eluent.B.acn,0.002337407603327893
nBase,0.0027297246740204347
SLogP,0.01914395345192904
